date,gold_price_eur
2011-03-01,1035.1257327509
2011-03-02,1043.5796236135
2011-03-03,1021.1625453142
2011-03-04,1023.1481500364
2011-03-07,1025.037326889
2011-03-08,1021.8459277881
2011-03-09,1028.4242486676
2011-03-10,1015.8095074602
2011-03-11,1029.9761985482
2011-03-14,1022.349918587
2011-03-15,995.2773466916
2011-03-16,998.1260376001
2011-03-17,1011.1748636418
2011-03-18,1008.9845619996
2011-03-21,1006.455091654
2011-03-22,1004.0749077237
2011-03-23,1014.8842635375
2011-03-24,1017.1584718591
2011-03-25,1006.2846487465
2011-03-28,1012.2606160911
2011-03-29,1005.6998750651
2011-03-30,1008.9901110745
2011-03-31,1018.9571107276
2011-04-01,1008.6384106114
2011-04-04,1006.9368206475
2011-04-05,1020.9493792399
2011-04-06,1025.171160301
2011-04-07,1017.4204207313
2011-04-08,1030.2012172932
2011-04-11,1014.648408764
2011-04-12,1006.3075840436
2011-04-13,1005.0157780889
2011-04-14,1019.0344729673
2011-04-15,1029.1644396573
2011-04-18,1035.3876428429
2011-04-19,1050.6932928659
2011-04-20,1044.9893104501
2011-04-21,1035.6897006831
2011-04-25,1036.3328161109
2011-04-26,1030.9377390386
2011-04-27,1032.6148433072
2011-04-28,1035.7240364493
2011-04-29,1048.2304915081
2011-05-02,1052.2512759363
2011-05-03,1038.9360084232
2011-05-04,1021.2850082118
2011-05-05,998.600476845
2011-05-06,1025.2745525593
2011-05-09,1047.100538183
2011-05-10,1054.9468961848
2011-05-11,1041.628295844
2011-05-12,1060.1642730446
2011-05-13,1048.8895286349
2011-05-16,1058.6758443999
2011-05-17,1045.1975771652
2011-05-18,1048.1463802279
2011-05-19,1046.7782842777
2011-05-20,1053.911952149
2011-05-23,1074.2416939799
2011-05-24,1085.1581088335
2011-05-25,1082.7715742006
2011-05-26,1081.1576399462
2011-05-27,1086.8708447749
2011-05-31,1072.3807895294
2011-06-01,1069.0374551755
2011-06-02,1067.9724749607
2011-06-03,1064.2663362456
2011-06-06,1055.2696954323
2011-06-07,1058.287084058
2011-06-08,1047.3230054967
2011-06-09,1056.0917599504
2011-06-10,1053.0678487773
2011-06-13,1057.03058764
2011-06-14,1056.9534369695
2011-06-15,1055.7762269146
2011-06-16,1078.3401211209
2011-06-17,1083.5898228438
2011-06-20,1079.0962583321
2011-06-21,1079.2007649145
2011-06-22,1079.7779952622
2011-06-23,1061.9418603383
2011-06-24,1051.5053938171
2011-06-27,1055.6523460446
2011-06-28,1047.5104346416
2011-06-29,1051.6151073056
2011-06-30,1037.5785680382
2011-07-01,1022.4906413796
2011-07-05,1039.1618718342
2011-07-06,1059.5267020683
2011-07-07,1067.712295182
2011-07-08,1072.9218137323
2011-07-11,1090.5565270543
2011-07-12,1112.4164830139
2011-07-13,1134.7971415064
2011-07-14,1116.3201780418
2011-07-15,1122.9553106001
2011-07-18,1134.3829445869
2011-07-19,1134.429757855
2011-07-20,1126.5835153695
2011-07-21,1111.9818795415
2011-07-22,1110.4695572524
2011-07-25,1120.3399599335
2011-07-26,1124.8625538292
2011-07-27,1113.1711140863
2011-07-28,1122.5230199166
2011-07-29,1136.1301089345
2011-08-01,1127.1478286201
2011-08-02,1151.2346041007
2011-08-03,1173.6119155632
2011-08-04,1153.9076665375
2011-08-05,1172.0989888829
2011-08-08,1196.4388703691
2011-08-09,1227.8832017682
2011-08-10,1238.4666600251
2011-08-11,1238.115468166
2011-08-12,1223.2213618566
2011-08-15,1229.850581294
2011-08-16,1234.4902942296
2011-08-17,1244.0600755113
2011-08-18,1260.5704521824
2011-08-19,1290.735528542
2011-08-22,1314.4029580689
2011-08-23,1293.9900531971
2011-08-24,1214.994810216
2011-08-25,1221.0372146441
2011-08-26,1248.2450056727
2011-08-29,1233.7993277761
2011-08-30,1257.6828766511
2011-08-31,1266.8762351337
2011-09-01,1270.2934205982
2011-09-02,1313.7634383437
2011-09-06,1329.6485227256
2011-09-07,1295.5564087068
2011-09-08,1316.5127951321
2011-09-09,1335.1414674765
2011-09-12,1330.7290432775
2011-09-13,1337.3090074373
2011-09-14,1332.3767158242
2011-09-15,1293.8231408241
2011-09-16,1306.5784536471
2011-09-19,1296.5055054088
2011-09-20,1327.8329615279
2011-09-21,1318.4663549604
2011-09-22,1280.1381216871
2011-09-23,1214.6811427266
2011-09-26,1175.5358045924
2011-09-27,1221.0314144349
2011-09-28,1190.0009189293
2011-09-29,1193.3375175917
2011-09-30,1192.7116570188
2011-10-03,1239.4331792704
2011-10-04,1223.7165649891
2011-10-05,1230.5202858097
2011-10-06,1238.313730102
2011-10-07,1217.1468339551
2011-10-10,1247.274659546
2011-10-11,1217.1907521435
2011-10-12,1232.1070741796
2011-10-13,1208.8925017483
2011-10-14,1224.4177181749
2011-10-17,1207.2144639882
2011-10-18,1201.7604029245
2011-10-19,1197.9588690904
2011-10-20,1171.0131444553
2011-10-21,1186.657451325
2011-10-24,1192.6142269866
2011-10-25,1220.771701733
2011-10-26,1238.9486210779
2011-10-27,1258.7068544392
2011-10-28,1231.9789738658
2011-10-31,1219.3714198614
2011-11-01,1234.4864272283
2011-11-02,1265.8924137955
2011-11-03,1288.677422029
2011-11-04,1269.2048566304
2011-11-07,1298.325574423
2011-11-08,1306.9692444401
2011-11-09,1295.2683475807
2011-11-10,1300.3196190146
2011-11-11,1313.365559086
2011-11-14,1289.4739391818
2011-11-15,1307.7499424479
2011-11-16,1313.2328302531
2011-11-17,1279.5140724364
2011-11-18,1281.5383003529
2011-11-21,1240.4315135799
2011-11-22,1262.3514235955
2011-11-23,1254.0379215108
2011-11-25,1264.3441491595
2011-11-28,1285.0161236439
2011-11-29,1286.626397187
2011-11-30,1310.0326878416
2011-12-01,1290.7683063762
2011-12-02,1297.2523973223
2011-12-05,1289.734850983
2011-12-06,1290.7586266591
2011-12-07,1298.0149948235
2011-12-08,1275.61348211
2011-12-09,1283.4353055808
2011-12-12,1244.5719300567
2011-12-13,1260.2624712737
2011-12-14,1216.9009376588
2011-12-15,1212.3475136861
2011-12-16,1224.5910953702
2011-12-19,1222.9845959207
2011-12-20,1242.024739072
2011-12-21,1231.5883527002
2011-12-22,1233.8172134851
2011-12-23,1229.0878595378
2011-12-27,1221.5557569998
2011-12-28,1195.6028891691
2011-12-29,1191.2050047214
2011-12-30,1208.5471142977
2012-01-03,1236.1521229419
2012-01-04,1234.6026117526
2012-01-05,1252.2982595794
2012-01-06,1262.9660544134
2012-01-09,1267.7066922176
2012-01-10,1276.6163983081
2012-01-11,1285.4606340117
2012-01-12,1294.6461314185
2012-01-13,1271.711976595
2012-01-17,1306.6975903851
2012-01-18,1301.9773047772
2012-01-19,1285.6326178451
2012-01-20,1283.2283068252
2012-01-23,1302.3125461094
2012-01-24,1277.5064584428
2012-01-25,1303.4237202271
2012-01-26,1317.0460379584
2012-01-27,1322.7142475255
2012-01-30,1310.5747275992
2012-01-31,1322.5700980442
2012-02-01,1336.007294935
2012-02-02,1333.9382440949
2012-02-03,1322.8894654038
2012-02-06,1312.3946439159
2012-02-07,1330.931385813
2012-02-08,1305.2756879965
2012-02-09,1312.5972112035
2012-02-10,1297.8171986838
2012-02-13,1301.6747814965
2012-02-14,1304.0840309914
2012-02-15,1314.4048562689
2012-02-16,1322.4007941645
2012-02-17,1313.724110712
2012-02-21,1330.6518819095
2012-02-22,1336.5270777991
2012-02-23,1346.5107560683
2012-02-24,1327.3131488489
2012-02-27,1316.986639672
2012-02-28,1332.9232274
2012-02-29,1268.6602656745
2012-03-01,1292.0297799046
2012-03-02,1282.6253132866
2012-03-05,1291.5040894588
2012-03-06,1263.7455347321
