fecha,indicador,indicador_codigo,valor,unidad,geografia,fuente
2010-03-19,IBEX 35,IBEX35,10990.7891,Puntos,España,Yahoo Finance
2010-03-22,IBEX 35,IBEX35,10861.8897,Puntos,España,Yahoo Finance
2010-03-22,Tipo Cambio EUR/USD,EURUSD,1.3567,USD/EUR,Global,Yahoo Finance
2010-03-22,Precio Oro EUR,XAU_EUR,810.2721,EUR/oz,Global,Yahoo Finance
2010-03-22,Precio Oro USD,XAU_USD,1099.3001,USD/oz,Global,Yahoo Finance
2010-03-23,Tipo Cambio EUR/USD,EURUSD,1.3468,USD/EUR,Global,Yahoo Finance
2010-03-23,Precio Oro EUR,XAU_EUR,819.3488,EUR/oz,Global,Yahoo Finance
2010-03-23,Precio Oro USD,XAU_USD,1103.5,USD/oz,Global,Yahoo Finance
2010-03-23,IBEX 35,IBEX35,10996.1895,Puntos,España,Yahoo Finance
2010-03-24,IBEX 35,IBEX35,10866.2891,Puntos,España,Yahoo Finance
2010-03-24,Tipo Cambio EUR/USD,EURUSD,1.3331,USD/EUR,Global,Yahoo Finance
2010-03-24,Precio Oro EUR,XAU_EUR,816.5915,EUR/oz,Global,Yahoo Finance
2010-03-24,Precio Oro USD,XAU_USD,1088.6,USD/oz,Global,Yahoo Finance
2010-03-25,Tipo Cambio EUR/USD,EURUSD,1.3307,USD/EUR,Global,Yahoo Finance
2010-03-25,Precio Oro EUR,XAU_EUR,821.1421,EUR/oz,Global,Yahoo Finance
2010-03-25,Precio Oro USD,XAU_USD,1092.7,USD/oz,Global,Yahoo Finance
2010-03-25,IBEX 35,IBEX35,11091.3887,Puntos,España,Yahoo Finance
2010-03-26,IBEX 35,IBEX35,11071.0889,Puntos,España,Yahoo Finance
2010-03-26,Tipo Cambio EUR/USD,EURUSD,1.341,USD/EUR,Global,Yahoo Finance
2010-03-26,Precio Oro EUR,XAU_EUR,823.4129,EUR/oz,Global,Yahoo Finance
2010-03-26,Precio Oro USD,XAU_USD,1104.2,USD/oz,Global,Yahoo Finance
2010-03-29,Tipo Cambio EUR/USD,EURUSD,1.3481,USD/EUR,Global,Yahoo Finance
2010-03-29,Precio Oro EUR,XAU_EUR,823.5983,EUR/oz,Global,Yahoo Finance
2010-03-29,IBEX 35,IBEX35,11090.9883,Puntos,España,Yahoo Finance
2010-03-29,Precio Oro USD,XAU_USD,1110.3001,USD/oz,Global,Yahoo Finance
2010-03-30,IBEX 35,IBEX35,10980.6895,Puntos,España,Yahoo Finance
2010-03-30,Tipo Cambio EUR/USD,EURUSD,1.3424,USD/EUR,Global,Yahoo Finance
2010-03-30,Precio Oro EUR,XAU_EUR,822.7752,EUR/oz,Global,Yahoo Finance
2010-03-30,Precio Oro USD,XAU_USD,1104.5,USD/oz,Global,Yahoo Finance
2010-03-31,Tipo Cambio EUR/USD,EURUSD,1.3508,USD/EUR,Global,Yahoo Finance
2010-03-31,Precio Oro EUR,XAU_EUR,824.176,EUR/oz,Global,Yahoo Finance
2010-03-31,IBEX 35,IBEX35,10871.2891,Puntos,España,Yahoo Finance
2010-03-31,Precio Oro USD,XAU_USD,1113.3001,USD/oz,Global,Yahoo Finance
2010-04-01,Precio Oro USD,XAU_USD,1125.1,USD/oz,Global,Yahoo Finance
2010-04-01,IBEX 35,IBEX35,11067.8897,Puntos,España,Yahoo Finance
2010-04-01,Tipo Cambio EUR/USD,EURUSD,1.3584,USD/EUR,Global,Yahoo Finance
2010-04-01,Precio Oro EUR,XAU_EUR,828.2536,EUR/oz,Global,Yahoo Finance
2010-04-02,Tipo Cambio EUR/USD,EURUSD,1.3505,USD/EUR,Global,Yahoo Finance
2010-04-05,Tipo Cambio EUR/USD,EURUSD,1.3489,USD/EUR,Global,Yahoo Finance
2010-04-05,Precio Oro EUR,XAU_EUR,839.8641,EUR/oz,Global,Yahoo Finance
2010-04-05,Precio Oro USD,XAU_USD,1132.9,USD/oz,Global,Yahoo Finance
2010-04-06,Precio Oro USD,XAU_USD,1135.1,USD/oz,Global,Yahoo Finance
2010-04-06,Tipo Cambio EUR/USD,EURUSD,1.3402,USD/EUR,Global,Yahoo Finance
2010-04-06,Precio Oro EUR,XAU_EUR,846.9662,EUR/oz,Global,Yahoo Finance
2010-04-06,IBEX 35,IBEX35,11160.5879,Puntos,España,Yahoo Finance
2010-04-07,IBEX 35,IBEX35,11191.2881,Puntos,España,Yahoo Finance
2010-04-07,Tipo Cambio EUR/USD,EURUSD,1.3349,USD/EUR,Global,Yahoo Finance
2010-04-07,Precio Oro EUR,XAU_EUR,863.2456,EUR/oz,Global,Yahoo Finance
2010-04-07,Precio Oro USD,XAU_USD,1152.3001,USD/oz,Global,Yahoo Finance
2010-04-08,Precio Oro USD,XAU_USD,1152.2,USD/oz,Global,Yahoo Finance
2010-04-08,Tipo Cambio EUR/USD,EURUSD,1.3361,USD/EUR,Global,Yahoo Finance
2010-04-08,Precio Oro EUR,XAU_EUR,862.3526,EUR/oz,Global,Yahoo Finance
2010-04-08,IBEX 35,IBEX35,11076.2891,Puntos,España,Yahoo Finance
2010-04-09,IBEX 35,IBEX35,11394.1885,Puntos,España,Yahoo Finance
2010-04-09,Tipo Cambio EUR/USD,EURUSD,1.3501,USD/EUR,Global,Yahoo Finance
2010-04-09,Precio Oro EUR,XAU_EUR,860.0151,EUR/oz,Global,Yahoo Finance
2010-04-09,Precio Oro USD,XAU_USD,1161.1,USD/oz,Global,Yahoo Finance
2010-04-12,Precio Oro USD,XAU_USD,1161.6,USD/oz,Global,Yahoo Finance
2010-04-12,Tipo Cambio EUR/USD,EURUSD,1.3596,USD/EUR,Global,Yahoo Finance
2010-04-12,Precio Oro EUR,XAU_EUR,854.3684,EUR/oz,Global,Yahoo Finance
2010-04-12,IBEX 35,IBEX35,11460.7881,Puntos,España,Yahoo Finance
2010-04-13,IBEX 35,IBEX35,11460.9883,Puntos,España,Yahoo Finance
2010-04-13,Tipo Cambio EUR/USD,EURUSD,1.3609,USD/EUR,Global,Yahoo Finance
2010-04-13,Precio Oro EUR,XAU_EUR,847.1121,EUR/oz,Global,Yahoo Finance
2010-04-13,Precio Oro USD,XAU_USD,1152.8001,USD/oz,Global,Yahoo Finance
2010-04-14,Precio Oro USD,XAU_USD,1159.0,USD/oz,Global,Yahoo Finance
2010-04-14,Tipo Cambio EUR/USD,EURUSD,1.3656,USD/EUR,Global,Yahoo Finance
2010-04-14,Precio Oro EUR,XAU_EUR,848.7125,EUR/oz,Global,Yahoo Finance
2010-04-14,IBEX 35,IBEX35,11503.6885,Puntos,España,Yahoo Finance
2010-04-15,IBEX 35,IBEX35,11523.4883,Puntos,España,Yahoo Finance
2010-04-15,Tipo Cambio EUR/USD,EURUSD,1.3574,USD/EUR,Global,Yahoo Finance
2010-04-15,Precio Oro EUR,XAU_EUR,854.351,EUR/oz,Global,Yahoo Finance
2010-04-15,Precio Oro USD,XAU_USD,1159.7,USD/oz,Global,Yahoo Finance
2010-04-16,Precio Oro USD,XAU_USD,1136.3001,USD/oz,Global,Yahoo Finance
